error_type,news_id_1,news_id_2,ref_cluster_1,ref_cluster_2,cand_cluster_1,cand_cluster_2,title_1,title_2
false_merge,89426,89484,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,На Чукотке проголосовали 22 процента. Или пять,ЦИК обнародовал предварительные итоги выборов. Путин переизбран президентом России
false_merge,89421,89450,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,"Явка на Сахалине и в Приморье в 2 раза выше, чем на предыдущих выборах",В Москве выборы президента признаны состоявшимися
false_merge,89439,89445,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке за четыре часа проголосовали 51 процент избирателей,На Дальнем Востоке выборы завершились. Явка на Сахалине едва превысила 50 процентов
false_merge,89426,89443,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке проголосовали 22 процента. Или пять,Выборы президента России состоялись
false_merge,88810,89434,prelim_0147,prelim_0634,baseline_россия_0010,baseline_россия_0010,Пожар в здании Арбитражного суда Москвы локализован,"Пожар в Манеже, журфак МГУ под угрозой возгорания"
false_merge,88810,89435,prelim_0147,prelim_0634,baseline_россия_0010,baseline_россия_0010,Пожар в здании Арбитражного суда Москвы локализован,В центре Москвы горит здание Манежа
false_merge,89387,89443,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,Выборы президента Российской Федерации начались,Выборы президента России состоялись
false_merge,89506,89445,prelim_0635,prelim_0638,baseline_россия_0030,baseline_россия_0030,Российские избиратели в Вашингтоне проголосовали за Путина и Хакамаду,На Дальнем Востоке выборы завершились. Явка на Сахалине едва превысила 50 процентов
false_merge,89426,89450,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,На Чукотке проголосовали 22 процента. Или пять,В Москве выборы президента признаны состоявшимися
false_merge,89425,89484,prelim_0612,prelim_0635,baseline_россия_0030,baseline_россия_0030,Выборы начались в Западной Сибири и на Урале,ЦИК обнародовал предварительные итоги выборов. Путин переизбран президентом России
false_merge,89697,89867,prelim_0198,prelim_0198_split_89867,baseline_россия_0013,baseline_россия_0013,Госсовет Чечни сделал инспектора Счетной палаты премьером республики,Бывшего премьера Чечни обвиняют в растратах
false_merge,89387,89442,prelim_0612,prelim_0638,baseline_россия_0030,baseline_россия_0030,Выборы президента Российской Федерации начались,Президентские выборы состоялись во всех округах
