error_type,news_id_1,news_id_2,ref_cluster_1,ref_cluster_2,cand_cluster_1,cand_cluster_2,title_1,title_2
false_split,89312,89494,prelim_0471,prelim_0471,baseline_мир_0026,baseline_мир_0033,Американцы назвали причину смерти Абу Аббаса,Израиль запретил хоронить Абу Аббаса в Рамалле
false_split,88579,88827,prelim_0013,prelim_0013,baseline_мир_0002,baseline_мир_0014,На Гаити высадились французские миротворцы,На родине культа вуду введено чрезвычайное положение
false_split,88546,89751,prelim_0051,prelim_0051,baseline_экономика_0000,baseline_экономика_0024,Саудовская Аравия пообещала не допустить нехватки нефти,"ОПЕК обеспокоена ростом цен на нефть, но снизит ее добычу"
false_split,89331,89505,prelim_0572,prelim_0572,baseline_россия_0027,baseline_россия_0034,"""Аль-Каеда"" обещает Америке ""Ветры черной смерти""","Подозреваемые во взрывах поездов в Мадриде связаны с ""Аль-Каедой"""
false_split,90397,90491,prelim_1143,prelim_1143,baseline_мир_0046,baseline_мир_0045,Компромат на Буша стал бестселлером в США,Кондолизза Райс даст публичные показания об обстоятельствах терактов 11 сентября
false_split,89473,89493,prelim_0624,prelim_0624,baseline_россия_0031,baseline_россия_0032,Колонна грузинской бронетехники находится в 30 километрах от границы Аджарии,Аслан Абашидзе заявил о готовности к переговорам с президентом Грузии
false_split,88727,88764,prelim_0168,prelim_0168,baseline_экономика_0009,baseline_экономика_0012,"Министерство по налогам и сборам обвинило ""Сибнефть"" в недоплате миллиарда долларов","Обвинение в неуплате налогов обрушило акции ""Сибнефти"""
false_split,90182,90465,prelim_1143,prelim_1143,baseline_мир_0044,baseline_мир_0045,Ричард Кларк: в терактах 11 сентября виноват Буш,Белый дом опубликует ответы Кондолиззы Райс комиссии по терактам 11 сентября
false_split,89367,90078,prelim_0565,prelim_0565,baseline_мир_0029,baseline_мир_0040,США беззащитны перед северокорейскими ракетами,Первый американский эсминец-компонент ПРО заступит на дежурство в сентябре
false_split,88968,89194,prelim_0312,prelim_0312,baseline_россия_0016,baseline_россия_0020,"Ми-26 подобрал полярников с разрушенной станции ""СП-32""","""Росгидромет"" ищет льдину для новой полярной станции"
false_split,90175,90989,prelim_1139,prelim_1139,baseline_мир_0043,baseline_мир_0050,Российский спонсор президента Литвы помещен под домашний арест,После импичмента экс-президент Литвы попал в реанимацию
